UniqueID,Distrito,Sex,Age (years),Environment,TorrenterasUsage,Close,TorrPercent,Key
Bethoven,Mariano Melgar,1,11,2,heavy,yes,heavy,"sex: male=1, female=2"
Blanco,Alto Selva Alegre,1,1,1,heavy,yes,heavy,"Urban environment? 1= urban, 2= periurban near torrenteras, 3= periurban far from torrenteras"
Bocanegra,Alto Selva Alegre,2,1.5,1,little,yes,heavy,"heavy > 50%, medium= 10%-50%, light <10%, no = 0"
Boyca,Mariano Melgar,1,3,3,little,no,little,
Cabeza_Blanca,Alto Selva Alegre,1,1.5,1,little,yes,heavy,
Cafetin,Alto Selva Alegre,1,1,1,little,yes,heavy,
Dayflu,Mariano Melgar,1,3,3,no,no,no,
Doki,Mariano Melgar,1,0.83,2,heavy,yes,little,
Dorito,Mariano Melgar,1,1.5,3,no,no,no,
Draico,Alto Selva Alegre,1,4,1,little,yes,heavy,
Gringasho,Mariano Melgar,1,4,2,little,yes,heavy,
Kucznski,Mariano Melgar,1,4,2,little,yes,heavy,
Lobo,Miraflores,1,3,3,no,no,no,
Loca,Mariano Melgar,2,4,2,little,yes,little,
Lunareja,Alto Selva Alegre,2,10,1,little,yes,heavy,
Maycol,Alto Selva Alegre,1,3,1,little,yes,heavy,
Negra,Mariano Melgar,2,2,2,no,yes,no,
Negro_I,Mariano Melgar,1,3,2,heavy,yes,heavy,
Negro_II,Miraflores,1,NA,2,little,yes,little,
Otis,Miraflores,1,6,1,little,yes,heavy,
Tarzan,Mariano Melgar,1,7,3,no,no,no,
Tofy,Mariano Melgar,1,6,2,little,yes,little,
Toto,Mariano Melgar,1,8,3,no,no,heavy,
