"","dogname","s_value","a_val"
"1","Bethoven",0.001033,9469.645
"2","Blanco",0.000597,5404.131
"3","Bocanegra",0.00141,3208.768
"4","Boyca",0.000853,3376.175
"5","Cabeza_Blanca",0.000866,2654.546
"6","Cafetin",0.003399,5951.175
"7","Dayflu",0.000406,868.5982
"8","Doki",0.000375,9741.697
"9","Dorito",0.001419,3432.778
"10","Draico",0.000562,3032.44
"11","Gringasho",0.001055,3735.806
"12","Kucznski",0.001202,1633.082
"13","Lobo",0.000532,2937.127
"14","Loca",0.000494,6117.26
"15","Lunareja",0.000591,3449.057
"16","Maycol",0.000744,2180.954
"17","Negra",0.001111,2276.448
"18","Negro_I",0.002216,10180.23
"19","Negro_II",0.000522,8798.092
"20","Otis",0.000467,3738.179
"21","Tarzan",0.006546,2954.736
"22","Tofy",0.000277,1222.075
"23","Toto",0.000468,1627.061
